	Ecoli	Listeria	Shigellia
OG0000504	sp|P0A6Y8|DNAK_ECOLI	sp|P0DJM2|DNAK_LISMO	tr|F5NPT4|F5NPT4_SHIFL
OG0000505	sp|P45568|DXR_ECOLI	sp|Q8Y7G4|DXR_LISMO	tr|F5NPP4|F5NPP4_SHIFL
OG0000506	sp|P0ABT5|DUSB_ECOLI	tr|Q8YAB9|Q8YAB9_LISMO	tr|F5P0G0|F5P0G0_SHIFL
OG0000507	sp|P0AB83|END3_ECOLI	tr|Q8Y608|Q8Y608_LISMO	tr|F5NV12|F5NV12_SHIFL
OG0000508	sp|P0A6N4|EFP_ECOLI	sp|P64032|EFP_LISMO	tr|F5P3L8|F5P3L8_SHIFL
OG0000509	sp|P0A6M4|DTD_ECOLI	sp|Q93RD9|DTD_LISMO	tr|F5P1B8|F5P1B8_SHIFL
OG0000510	sp|P0A6P1|EFTS_ECOLI	sp|Q8Y6M7|EFTS_LISMO	tr|F5NPP1|F5NPP1_SHIFL
OG0000511	sp|P0A988|DPO3B_ECOLI	tr|Q8YAW1|Q8YAW1_LISMO	tr|F5P1U6|F5P1U6_SHIFL
OG0000512	sp|P06710|DPO3X_ECOLI	tr|Q8Y3X5|Q8Y3X5_LISMO	tr|F5NRI6|F5NRI6_SHIFL
OG0000513	sp|P39276|DTPC_ECOLI, sp|P75742|DTPD_ECOLI		tr|F5NQV8|F5NQV8_SHIFL
OG0000514	sp|P0ABQ4|DYR_ECOLI	tr|Q8Y627|Q8Y627_LISMO	tr|F5NPW8|F5NPW8_SHIFL
OG0000515	sp|P0A6M8|EFG_ECOLI	sp|Q8Y421|EFG_LISMO	tr|F5P3A0|F5P3A0_SHIFL
OG0000516	sp|P77188|ECPB_ECOLI, sp|P77263|ECPE_ECOLI		tr|F5NZR4|F5NZR4_SHIFL
OG0000517	sp|P31442|EMRD_ECOLI	tr|Q8Y3Q6|Q8Y3Q6_LISMO	tr|F5P1R3|F5P1R3_SHIFL
OG0000518	sp|P0A6P7|ENGB_ECOLI	sp|Q8Y6X3|ENGB_LISMO	tr|F5P1E3|F5P1E3_SHIFL
OG0000519	sp|P0A6P9|ENO_ECOLI	sp|P64074|ENO_LISMO	tr|F5NYK0|F5NYK0_SHIFL
OG0000520	sp|P0AEJ6|EUTB_ECOLI	tr|Q8Y7U5|Q8Y7U5_LISMO	tr|F5NYB4|F5NYB4_SHIFL
OG0000521	sp|P0AAI5|FABF_ECOLI	tr|Q8Y574|Q8Y574_LISMO	tr|F5NSZ9|F5NSZ9_SHIFL
OG0000522	sp|P76541|EUTL_ECOLI	tr|Q8Y7U3|Q8Y7U3_LISMO	tr|F5NYB2|F5NYB2_SHIFL
OG0000523	sp|P0A9W3|ETTA_ECOLI	tr|Q8Y625|Q8Y625_LISMO	tr|F5P4B6|F5P4B6_SHIFL
OG0000524	sp|P06616|ERA_ECOLI	sp|Q8Y750|ERA_LISMO	tr|F5NYG7|F5NYG7_SHIFL
OG0000525	sp|P0A6C1|END4_ECOLI	sp|Q8Y756|END4_LISMO	tr|F5NX86|F5NX86_SHIFL
OG0000526	sp|P0A8G9|EX7S_ECOLI	sp|Q8Y7C3|EX7S_LISMO	tr|F5NQH0|F5NQH0_SHIFL
OG0000527	sp|P0A9R2|ESSD_ECOLI, sp|P77237|ESSQ_ECOLI		tr|F5NVR8|F5NVR8_SHIFL
OG0000528	sp|P19636|EUTC_ECOLI	sp|Q8Y7U4|EUTC_LISMO	tr|F5NYB3|F5NYB3_SHIFL
OG0000529	sp|P0A6R0|FABH_ECOLI	sp|Q8Y573|FABH_LISMO	tr|F5NSZ5|F5NSZ5_SHIFL
OG0000530	sp|P04994|EX7L_ECOLI	sp|Q8Y7C4|EX7L_LISMO	tr|F5NY11|F5NY11_SHIFL
OG0000531	sp|P0AAI9|FABD_ECOLI	tr|Q8Y689|Q8Y689_LISMO	tr|F5NSZ6|F5NSZ6_SHIFL
OG0000532	sp|P76551|EUTA_ECOLI	tr|Q8Y7U6|Q8Y7U6_LISMO	tr|F5NYB5|F5NYB5_SHIFL
OG0000533	sp|P33650|FEOB_ECOLI	tr|Q8Y5F9|Q8Y5F9_LISMO	tr|F5P323|F5P323_SHIFL
OG0000534	sp|P0AEK4|FABI_ECOLI	tr|Q8Y8D5|Q8Y8D5_LISMO	tr|F5NTP7|F5NTP7_SHIFL
OG0000535	sp|P0A6Q6|FABZ_ECOLI	sp|Q8Y4C6|FABZ_LISMO	tr|F5NPQ2|F5NPQ2_SHIFL
OG0000536	sp|P75936|FLGD_ECOLI	tr|Q8Y944|Q8Y944_LISMO	tr|F5NSX6|F5NSX6_SHIFL
OG0000537	sp|P76556|EUTP_ECOLI	tr|Q8Y7X4|Q8Y7X4_LISMO	tr|F5NYB6|F5NYB6_SHIFL
OG0000538	sp|P63746|EUTS_ECOLI	tr|Q8Y7X5|Q8Y7X5_LISMO	tr|F5NYB7|F5NYB7_SHIFL
OG0000539	sp|P09030|EX3_ECOLI	tr|Q8Y6A9|Q8Y6A9_LISMO	tr|F5NUM5|F5NUM5_SHIFL
OG0000540	sp|P0AEK0|EXOX_ECOLI	sp|Q8Y7G1|DPO3_LISMO	tr|F5NVH4|F5NVH4_SHIFL
OG0000541	sp|P07658|FDHF_ECOLI	tr|Q8Y469|Q8Y469_LISMO	tr|F5P3P2|F5P3P2_SHIFL
OG0000542	sp|P05523|FPG_ECOLI	sp|Q8Y6W7|FPG_LISMO	tr|F5P2A8|F5P2A8_SHIFL
OG0000543	sp|P15070|FLIN_ECOLI	tr|Q8Y943|Q8Y943_LISMO	tr|F5NW14|F5NW14_SHIFL
OG0000544	sp|P23882|FMT_ECOLI	sp|Q8Y676|FMT_LISMO	tr|F5P0I8|F5P0I8_SHIFL
OG0000545	sp|P69380|FIEF_ECOLI	tr|Q8Y4L4|Q8Y4L4_LISMO	tr|F5P153|F5P153_SHIFL
OG0000546	sp|P0AC16|FOLB_ECOLI	tr|Q8YAC1|Q8YAC1_LISMO	tr|F5NZI6|F5NZI6_SHIFL
OG0000547	sp|P0A9A6|FTSZ_ECOLI	tr|Q8Y5M5|Q8Y5M5_LISMO	tr|F5NQ23|F5NQ23_SHIFL
OG0000548	sp|P29744|FLGL_ECOLI	tr|Q8Y935|Q8Y935_LISMO	tr|F5NSY7|F5NSY7_SHIFL
OG0000549	sp|P0A8T5|FLIE_ECOLI	sp|Q8Y930|FLIE_LISMO	tr|F5NW03|F5NW03_SHIFL
OG0000550	sp|P0ABZ1|FLIG_ECOLI	tr|Q8Y928|Q8Y928_LISMO	tr|F5NW06|F5NW06_SHIFL
OG0000551	sp|P0AEM9|FLIY_ECOLI	tr|Q8Y6E9|Q8Y6E9_LISMO	tr|F5NVY0|F5NVY0_SHIFL
OG0000552	sp|P24186|FOLD_ECOLI	sp|Q8Y7C5|FOLD_LISMO	tr|F5NRP6|F5NRP6_SHIFL
OG0000553	sp|P76299|FLHB_ECOLI	tr|Q8Y955|Q8Y955_LISMO	tr|F5NVT6|F5NVT6_SHIFL
OG0000554	sp|P04949|FLIC_ECOLI	sp|Q02551|FLAA_LISMO	tr|F5NVY3|F5NVY3_SHIFL
OG0000555	sp|P24216|FLID_ECOLI	tr|Q8Y934|Q8Y934_LISMO	tr|F5NVY4|F5NVY4_SHIFL
OG0000556	sp|P52612|FLII_ECOLI	tr|Q8Y926|Q8Y926_LISMO	tr|F5NW08|F5NW08_SHIFL
OG0000557	sp|P06974|FLIM_ECOLI	tr|Q8Y942|Q8Y942_LISMO	tr|F5NW13|F5NW13_SHIFL
OG0000558	sp|P0AC07|FLIQ_ECOLI	tr|Q8Y957|Q8Y957_LISMO	tr|F5NW17|F5NW17_SHIFL
OG0000559	sp|P0AC00|FRLB_ECOLI	tr|Q8Y5Q8|Q8Y5Q8_LISMO	tr|F5P366|F5P366_SHIFL
OG0000560	sp|P0AC53|G6PD_ECOLI	tr|Q8Y5S7|Q8Y5S7_LISMO	tr|F5NVI4|F5NVI4_SHIFL
OG0000561	sp|P32177|FDHD_ECOLI	sp|Q8Y471|FDHD_LISMO	tr|F5P1D0|F5P1D0_SHIFL
OG0000562	sp|P0AEM6|FLIA_ECOLI	tr|Q7AP79|Q7AP79_LISMO	tr|F5NVY2|F5NVY2_SHIFL
OG0000563	sp|P0AC05|FLIP_ECOLI	tr|Q8Y958|Q8Y958_LISMO	tr|F5NW16|F5NW16_SHIFL
OG0000564	sp|P08192|FOLC_ECOLI	tr|Q8Y6Y0|Q8Y6Y0_LISMO	tr|F5NXR6|F5NXR6_SHIFL
OG0000565	sp|P0ABH0|FTSA_ECOLI	tr|Q8Y5M4|Q8Y5M4_LISMO	tr|F5NQ22|F5NQ22_SHIFL
OG0000566	sp|P0AAI3|FTSH_ECOLI	tr|Q8YAC6|Q8YAC6_LISMO	tr|F5P080|F5P080_SHIFL
OG0000567	sp|P0AD68|FTSI_ECOLI	tr|Q8Y5L8|Q8Y5L8_LISMO	tr|F5NQ12|F5NQ12_SHIFL
OG0000568	sp|P0AF52|GHXP_ECOLI, sp|Q46817|GHXQ_ECOLI		tr|F5P3M7|F5P3M7_SHIFL
OG0000569	sp|P13035|GLPD_ECOLI	tr|Q8Y7I4|Q8Y7I4_LISMO	tr|F5P305|F5P305_SHIFL
OG0000570	sp|P27248|GCST_ECOLI	sp|Q8Y7D5|GCST_LISMO	tr|F5NZT9|F5NZT9_SHIFL
OG0000571	sp|P0A9C5|GLNA_ECOLI	tr|Q8Y7I0|Q8Y7I0_LISMO	tr|F5P1D7|F5P1D7_SHIFL
OG0000572	sp|P17169|GLMS_ECOLI	sp|Q8Y915|GLMS_LISMO	tr|F5P1Y7|F5P1Y7_SHIFL
OG0000573	sp|P37689|GPMI_ECOLI	sp|Q8Y4I4|GPMI_LISMO	tr|F5P2D0|F5P2D0_SHIFL
OG0000574	sp|P33195|GCSP_ECOLI	sp|Q8Y7D3|GCSPB_LISMO	tr|F5NZT7|F5NZT7_SHIFL
OG0000575	sp|P0AC62|GLRX3_ECOLI	tr|Q8Y4T8|Q8Y4T8_LISMO	tr|F5P2D2|F5P2D2_SHIFL
OG0000576	sp|P33231|LLDP_ECOLI, sp|Q46839|GLCA_ECOLI		tr|F5P2D9|F5P2D9_SHIFL
OG0000577	sp|P0A825|GLYA_ECOLI	sp|Q8Y4B2|GLYA_LISMO	tr|F5NY48|F5NY48_SHIFL
OG0000578	sp|P0ACC7|GLMU_ECOLI	sp|Q8YAD4|GLMU_LISMO	tr|F5P1Y8|F5P1Y8_SHIFL
OG0000579	sp|P0A6V5|GLPE_ECOLI	tr|Q8Y9C3|Q8Y9C3_LISMO	tr|F5P306|F5P306_SHIFL
OG0000580	sp|P09831|GLTB_ECOLI	tr|Q8Y6F3|Q8Y6F3_LISMO	tr|F5P0B6|F5P0B6_SHIFL
OG0000581	sp|P75849|GLO22_ECOLI	tr|Q8Y5A2|Q8Y5A2_LISMO	tr|F5NSR2|F5NSR2_SHIFL
OG0000582	sp|P75767|GNGF_ECOLI	sp|P58588|GNGF_LISMO	tr|F5NS50|F5NS50_SHIFL
OG0000583	sp|P46846|GNTX_ECOLI	tr|Q8Y4D7|Q8Y4D7_LISMO	tr|F5P317|F5P317_SHIFL
OG0000584	sp|P0A6S7|GPDA_ECOLI	sp|Q8Y5W9|GPDA_LISMO	tr|F5P2D4|F5P2D4_SHIFL
OG0000585	sp|P62707|GPMA_ECOLI	sp|Q8Y571|GPMA_LISMO	tr|F5NQQ4|F5NQQ4_SHIFL
OG0000586	sp|P09372|GRPE_ECOLI	sp|P0DJM3|GRPE_LISMO	tr|F5NZ11|F5NZ11_SHIFL
OG0000587	sp|P06715|GSHR_ECOLI	tr|Q8Y8J5|Q8Y8J5_LISMO	tr|F5P2Q7|F5P2Q7_SHIFL
OG0000588	sp|P75798|GSIC_ECOLI	tr|Q92FC3|Q92FC3_LISMO	tr|F5NSB1|F5NSB1_SHIFL
OG0000589	sp|P31120|GLMM_ECOLI	sp|Q8Y5E6|GLMM_LISMO	tr|F5P078|F5P078_SHIFL
OG0000590	sp|P0A6F3|GLPK_ECOLI	sp|Q8Y6Z2|GLPK_LISMO	tr|F5P141|F5P141_SHIFL
OG0000591	sp|P77161|GLXR_ECOLI	tr|Q8Y8A5|Q8Y8A5_LISMO	tr|F5NRM6|F5NRM6_SHIFL
OG0000592	sp|P04079|GUAA_ECOLI	sp|Q8Y822|GUAA_LISMO	tr|F5NY09|F5NY09_SHIFL
OG0000593	sp|P75797|GSIB_ECOLI	tr|Q8YAJ0|Q8YAJ0_LISMO	tr|F5NSB0|F5NSB0_SHIFL
OG0000594	sp|P17115|GUTQ_ECOLI	tr|Q8Y9M4|Q8Y9M4_LISMO	tr|F5NYV1|F5NYV1_SHIFL
OG0000595	sp|P0A6W5|GREA_ECOLI	sp|P64277|GREA_LISMO	tr|F5P084|F5P084_SHIFL
OG0000596	sp|P0AES4|GYRA_ECOLI	tr|Q8YAV6|Q8YAV6_LISMO	tr|F5NXH8|F5NXH8_SHIFL
OG0000597	sp|P0ACB2|HEM2_ECOLI	tr|Q8Y6X7|Q8Y6X7_LISMO	tr|F5NQA7|F5NQA7_SHIFL
OG0000598	sp|P0A6W9|GSH1_ECOLI	sp|Q8Y3R3|GSHAB_LISMO	tr|F5NYW8|F5NYW8_SHIFL
OG0000599	sp|P0A6X1|HEM1_ECOLI	sp|Q8Y6X4|HEM1_LISMO	tr|F5NTF5|F5NTF5_SHIFL
OG0000600	sp|P23871|HEMH_ECOLI	sp|Q8Y565|HEMH_LISMO	tr|F5NRJ1|F5NRJ1_SHIFL
OG0000601	sp|P60595|HIS5_ECOLI	sp|Q8Y9G3|HIS5_LISMO	tr|F5NWM8|F5NWM8_SHIFL
OG0000602	sp|P60664|HIS6_ECOLI	sp|Q8Y9G5|HIS6_LISMO	tr|F5NWN0|F5NWN0_SHIFL
OG0000603	sp|P76658|HLDE_ECOLI	tr|Q8Y829|Q8Y829_LISMO	tr|F5NZH9|F5NZH9_SHIFL
OG0000604	sp|P60757|HIS1_ECOLI	sp|Q8Y9G0|HIS1_LISMO	tr|F5NWM1|F5NWM1_SHIFL
OG0000605	sp|P36553|HEM6_ECOLI		tr|F5NYA8|F5NYA8_SHIFL, tr|F5NYA9|F5NYA9_SHIFL
OG0000606	sp|P06989|HIS2_ECOLI	sp|Q8Y9G6|HIS3_LISMO	tr|F5NWN1|F5NWN1_SHIFL
OG0000607	sp|P06983|HEM3_ECOLI	sp|Q8Y6X5|HEM3_LISMO	tr|F5P1K4|F5P1K4_SHIFL
OG0000608	sp|P0ACE7|HINT_ECOLI	tr|Q8Y560|Q8Y560_LISMO	tr|F5NT07|F5NT07_SHIFL
OG0000609	sp|P0A705|IF2_ECOLI	sp|Q8Y7F6|IF2_LISMO	tr|F5P070|F5P070_SHIFL
OG0000610	sp|P0AAT6|IOJAP_ECOLI	tr|Q92BM7|Q92BM7_LISMO	tr|F5NRX7|F5NRX7_SHIFL
OG0000611	sp|P0A6Z3|HTPG_ECOLI	tr|Q8Y8G2|Q8Y8G2_LISMO	tr|F5NRI9|F5NRI9_SHIFL
OG0000612	sp|P05793|ILVC_ECOLI	sp|Q8Y5S0|ILVC_LISMO	tr|F5P1N1|F5P1N1_SHIFL
OG0000613	sp|P75969|INTE_ECOLI		tr|F5NQP1|F5NQP1_SHIFL, tr|F5NS13|F5NS13_SHIFL
OG0000614	sp|P69222|IF1_ECOLI	sp|P65110|IF1_LISMO	tr|F5NSD6|F5NSD6_SHIFL
OG0000615	sp|P0A707|IF3_ECOLI	sp|P0A3L1|IF3_LISMO	tr|F5NUR1|F5NUR1_SHIFL
OG0000616	sp|P0AB80|ILVE_ECOLI	sp|P0DJL9|DAAA_LISMO	tr|F5P1N5|F5P1N5_SHIFL
OG0000617	sp|P00894|ILVH_ECOLI	tr|Q92A30|Q92A30_LISMO	tr|F5NQ03|F5NQ03_SHIFL
OG0000618	sp|P0ADG7|IMDH_ECOLI	tr|Q926Y9|Q926Y9_LISMO	tr|F5NY10|F5NY10_SHIFL
OG0000619	sp|P37326|INTS_ECOLI, sp|P76542|INTZ_ECOLI		tr|F5NXV3|F5NXV3_SHIFL
OG0000620	sp|Q46822|IDI_ECOLI	sp|Q8Y9Z9|Y368_LISMO	tr|F5NZS2|F5NZS2_SHIFL
OG0000621	sp|P62623|ISPH_ECOLI	sp|P58676|ISPH_LISMO	tr|F5NPU6|F5NPU6_SHIFL
OG0000622	sp|P0A6B7|ISCS_ECOLI	tr|Q8Y713|Q8Y713_LISMO	tr|F5NY35|F5NY35_SHIFL
OG0000623	sp|P22939|ISPA_ECOLI	tr|Q8Y7C2|Q8Y7C2_LISMO	tr|F5NQG9|F5NQG9_SHIFL
OG0000624	sp|P0AEW9|K1PF_ECOLI	tr|Q8Y4U5|Q8Y4U5_LISMO	tr|F5NX92|F5NX92_SHIFL
OG0000625	sp|P69441|KAD_ECOLI	sp|Q8Y449|KAD_LISMO	tr|F5NRJ0|F5NRJ0_SHIFL
OG0000626	sp|P0A7A9|IPYR_ECOLI	tr|Q8YA26|Q8YA26_LISMO	tr|F5P3D9|F5P3D9_SHIFL
OG0000627	sp|P05791|ILVD_ECOLI	sp|Q8Y5S2|ILVD_LISMO	tr|F5P1N4|F5P1N4_SHIFL
OG0000628	sp|P62615|ISPE_ECOLI	sp|Q8YAE1|ISPE_LISMO	tr|F5NTF3|F5NTF3_SHIFL
OG0000629	sp|P62620|ISPG_ECOLI	sp|P58668|ISPG_LISMO	tr|F5NY17|F5NY17_SHIFL
OG0000630	sp|P0AGK8|ISCR_ECOLI	tr|Q8Y711|Q8Y711_LISMO	tr|F5NY36|F5NY36_SHIFL
OG0000631	sp|P0ACD4|ISCU_ECOLI	tr|Q8Y4M5|Q8Y4M5_LISMO	tr|F5NY34|F5NY34_SHIFL
OG0000632	sp|Q46893|ISPD_ECOLI	sp|Q8YAB5|ISPD_LISMO	tr|F5NYP5|F5NYP5_SHIFL
OG0000633	sp|P62617|ISPF_ECOLI	sp|Q8YAB4|ISPF_LISMO	tr|F5NYP6|F5NYP6_SHIFL
OG0000634	sp|P0A6I0|KCY_ECOLI	sp|Q8Y5W6|KCY_LISMO	tr|F5NSN7|F5NSN7_SHIFL
OG0000635	sp|P31069|KCH_ECOLI	tr|Q8Y5K1|Q8Y5K1_LISMO	tr|F5NTJ9|F5NTJ9_SHIFL
OG0000636	sp|P21865|KDPD_ECOLI	tr|Q8Y3Z9|Q8Y3Z9_LISMO	tr|F5NQL8|F5NQL8_SHIFL
OG0000637	sp|P21866|KDPE_ECOLI	tr|Q8Y400|Q8Y400_LISMO	tr|F5NQL7|F5NQL7_SHIFL
OG0000638	sp|P23331|KITH_ECOLI	sp|Q8Y4A7|KITH_LISMO	tr|F5NTI3|F5NTI3_SHIFL
OG0000639	sp|P0ABN1|KDGL_ECOLI	tr|Q8Y748|Q8Y748_LISMO	tr|F5P0Q1|F5P0Q1_SHIFL
OG0000640	sp|P0A715|KDSA_ECOLI	tr|Q8Y6T2|Q8Y6T2_LISMO	tr|F5NTG0|F5NTG0_SHIFL
OG0000641	sp|P60546|KGUA_ECOLI	sp|Q8Y672|KGUA_LISMO	tr|F5P278|F5P278_SHIFL
OG0000642	sp|P33232|LLDD_ECOLI	sp|Q8Y7A5|IDI2_LISMO	tr|F5P2D7|F5P2D7_SHIFL
OG0000643	sp|P09151|LEU1_ECOLI	sp|Q8Y5R9|LEU1_LISMO	tr|F5NPZ6|F5NPZ6_SHIFL
OG0000644	sp|P60785|LEPA_ECOLI	sp|Q8Y742|LEPA_LISMO	tr|F5NYH0|F5NYH0_SHIFL
OG0000645	sp|P0A6A6|LEUC_ECOLI	sp|Q8Y5R7|LEUC_LISMO	tr|F5NPZ4|F5NPZ4_SHIFL
OG0000646	sp|P04816|LIVK_ECOLI, sp|P0AD96|LIVJ_ECOLI		tr|F5P2X2|F5P2X2_SHIFL
OG0000647	sp|P30126|LEUD_ECOLI	sp|Q8Y5R6|LEUD_LISMO	tr|F5NPZ3|F5NPZ3_SHIFL
OG0000648	sp|P0A7C2|LEXA_ECOLI	sp|Q8Y7H7|LEXA_LISMO	tr|F5P0Q0|F5P0Q0_SHIFL
OG0000649	sp|P0AC81|LGUL_ECOLI	tr|Q8Y5A1|Q8Y5A1_LISMO	tr|F5NUZ0|F5NUZ0_SHIFL
OG0000650	sp|P25737|LYSP_ECOLI	tr|Q8Y8U4|Q8Y8U4_LISMO	tr|F5NX83|F5NX83_SHIFL
OG0000651	sp|P26616|MAO1_ECOLI	tr|Q8Y5Y8|Q8Y5Y8_LISMO	tr|F5NVC9|F5NVC9_SHIFL
OG0000652	sp|P75823|LTAE_ECOLI	tr|Q8YA56|Q8YA56_LISMO	tr|F5NSG8|F5NSG8_SHIFL
OG0000653	sp|P0AEX9|MALE_ECOLI	tr|Q929P4|Q929P4_LISMO	tr|F5P0R0|F5P0R0_SHIFL
OG0000654	sp|P02916|MALF_ECOLI	tr|Q8Y5E0|Q8Y5E0_LISMO	tr|F5P0R1|F5P0R1_SHIFL
OG0000655	sp|P68183|MALG_ECOLI	tr|Q8Y5E1|Q8Y5E1_LISMO	tr|F5P0R2|F5P0R2_SHIFL
OG0000656	sp|P32166|MENA_ECOLI	tr|Q8Y6K7|Q8Y6K7_LISMO	tr|F5P136|F5P136_SHIFL
OG0000657	sp|P45578|LUXS_ECOLI	sp|Q8Y7I9|LUXS_LISMO	tr|F5NYW9|F5NYW9_SHIFL
OG0000658	sp|P21517|MALZ_ECOLI	tr|Q8Y5D9|Q8Y5D9_LISMO	tr|F5NQF0|F5NQF0_SHIFL
OG0000659	sp|P27245|MARR_ECOLI	tr|Q8Y7P8|Q8Y7P8_LISMO	tr|F5NU93|F5NU93_SHIFL
OG0000660	sp|P69367|MDTH_ECOLI	tr|Q8Y5L5|Q8Y5L5_LISMO	tr|F5NT92|F5NT92_SHIFL
OG0000661	sp|P0AFS9|MEPM_ECOLI	tr|Q8Y4E2|Q8Y4E2_LISMO	tr|F5NVI9|F5NVI9_SHIFL
OG0000662	sp|P25665|METE_ECOLI	sp|Q8Y6K3|METE_LISMO	tr|F5P1H5|F5P1H5_SHIFL
OG0000663	sp|P0A817|METK_ECOLI	sp|Q8Y6M0|METK_LISMO	tr|F5NZY5|F5NZY5_SHIFL
OG0000664	sp|P0ACH8|MELR_ECOLI	tr|Q8Y533|Q8Y533_LISMO	tr|F5P3U3|F5P3U3_SHIFL
OG0000665	sp|P23256|MALY_ECOLI	tr|Q8Y4R4|Q8Y4R4_LISMO	tr|F5NV23|F5NV23_SHIFL
OG0000666	sp|P24175|MANB_ECOLI	tr|Q8Y629|Q8Y629_LISMO	tr|F5NWQ1|F5NWQ1_SHIFL
OG0000667	sp|P0AE18|MAP1_ECOLI	tr|Q8Y6H5|Q8Y6H5_LISMO	tr|F5NPN8|F5NPN8_SHIFL
OG0000668	sp|P77791|MAA_ECOLI	tr|Q8Y969|Q8Y969_LISMO	tr|F5NRH5|F5NRH5_SHIFL
OG0000669	sp|P37355|MENH_ECOLI	tr|Q8Y6L0|Q8Y6L0_LISMO	tr|F5NXL5|F5NXL5_SHIFL
OG0000670	sp|P17109|MEND_ECOLI	sp|Q8Y6K9|MEND_LISMO	tr|F5NXL6|F5NXL6_SHIFL
OG0000671	sp|P30958|MFD_ECOLI	tr|Q8YAD0|Q8YAD0_LISMO	tr|F5NT19|F5NT19_SHIFL
OG0000672	sp|P0A731|MGSA_ECOLI	sp|Q8Y5Z7|MGSA_LISMO	tr|F5NSU8|F5NSU8_SHIFL
OG0000673	sp|P16384|MIAA_ECOLI	sp|Q8Y7I3|MIAA_LISMO	tr|F5P3J6|F5P3J6_SHIFL
OG0000674	sp|P25745|MNMA_ECOLI	sp|Q8Y714|MNMA_LISMO	tr|F5NT61|F5NT61_SHIFL
OG0000675	sp|P31547|METI_ECOLI	tr|Q8YA76|Q8YA76_LISMO	tr|F5NPS3|F5NPS3_SHIFL
OG0000676	sp|P0C066|MLTC_ECOLI	tr|Q8Y925|Q8Y925_LISMO	tr|F5P011|F5P011_SHIFL
OG0000677	sp|P0ABU0|MENB_ECOLI	tr|Q8Y6L1|Q8Y6L1_LISMO	tr|F5NXL4|F5NXL4_SHIFL
OG0000678	sp|P37340|MDTK_ECOLI	sp|Q8Y654|NORM_LISMO	tr|F5NUX3|F5NUX3_SHIFL
OG0000679	sp|P77781|MENI_ECOLI	tr|Q8Y4Q0|Q8Y4Q0_LISMO	tr|F5NUU8|F5NUU8_SHIFL
OG0000680	sp|P0A6U3|MNMG_ECOLI	sp|Q8Y3M5|MNMG_LISMO	tr|F5P1Z9|F5P1Z9_SHIFL
OG0000681	sp|P0A769|MNTH_ECOLI	sp|Q8Y773|MNTH_LISMO	tr|F5NY66|F5NY66_SHIFL
OG0000682	sp|P0A9F1|MNTR_ECOLI	sp|Q8Y623|MNTR_LISMO	tr|F5NS96|F5NS96_SHIFL
OG0000683	sp|P0AEZ3|MIND_ECOLI	tr|Q8Y6Y7|Q8Y6Y7_LISMO	tr|F5NTA9|F5NTA9_SHIFL
OG0000684	sp|P09348|MOTA_ECOLI	tr|Q7AP82|Q7AP82_LISMO	tr|F5NVV1|F5NVV1_SHIFL
OG0000685	sp|P0AF12|MTNN_ECOLI	sp|Q8Y729|MTNN_LISMO	tr|F5NPM9|F5NPM9_SHIFL
OG0000686	sp|P76112|MNAT_ECOLI	tr|Q8Y5C4|Q8Y5C4_LISMO	tr|F5NVF2|F5NVF2_SHIFL
OG0000687	sp|P25522|MNME_ECOLI	sp|Q8Y3M4|MNME_LISMO	tr|F5P1V1|F5P1V1_SHIFL
OG0000688	sp|P30749|MOAE_ECOLI	tr|Q8Y873|Q8Y873_LISMO	tr|F5NS55|F5NS55_SHIFL
OG0000689	sp|P0AF01|MODB_ECOLI	tr|Q8Y877|Q8Y877_LISMO	tr|F5NQP4|F5NQP4_SHIFL
OG0000690	sp|P12281|MOEA_ECOLI	tr|Q8Y875|Q8Y875_LISMO	tr|F5NSA6|F5NSA6_SHIFL
OG0000691	sp|P0A744|MSRA_ECOLI	sp|Q8Y640|MSRA_LISMO	tr|F5P3E4|F5P3E4_SHIFL
OG0000692	sp|P0A746|MSRB_ECOLI	sp|Q8Y641|MSRB_LISMO	tr|F5NUJ2|F5NUJ2_SHIFL
OG0000693	sp|P32173|MOBA_ECOLI	tr|Q8Y879|Q8Y879_LISMO	tr|F5P1F2|F5P1F2_SHIFL
OG0000694	sp|P37329|MODA_ECOLI	tr|Q8Y876|Q8Y876_LISMO	tr|F5NQP5|F5NQP5_SHIFL
OG0000695	sp|P76270|MSRC_ECOLI	tr|Q8Y6T7|Q8Y6T7_LISMO	tr|F5NUC3|F5NUC3_SHIFL
OG0000696	sp|P33345|MOLR_ECOLI, sp|P33346|YEHI_ECOLI		tr|F5NX02|F5NX02_SHIFL
OG0000697	sp|P22186|MRAZ_ECOLI	sp|Q8Y5L6|MRAZ_LISMO	tr|F5NQ08|F5NQ08_SHIFL
OG0000698	sp|P16926|MREC_ECOLI	sp|Q8Y6Y4|MREC_LISMO	tr|F5P0E9|F5P0E9_SHIFL
OG0000699	sp|P17952|MURC_ECOLI	sp|Q8Y6S8|MURC_LISMO	tr|F5NQ19|F5NQ19_SHIFL
OG0000700	sp|P14900|MURD_ECOLI	sp|Q8Y5M1|MURD_LISMO	tr|F5NQ16|F5NQ16_SHIFL
OG0000701	sp|P17443|MURG_ECOLI	sp|Q8Y5M2|MURG_LISMO	tr|F5NQ18|F5NQ18_SHIFL
OG0000702	sp|P0AF06|MOTB_ECOLI	tr|Q7AP81|Q7AP81_LISMO	tr|F5NVV0|F5NVV0_SHIFL
